     86/99     11.3G   0.02838   0.01659   0.00271   0.04767       117       640    0.8731    0.5879    0.5805    0.3373   0.05102   0.04315   0.01841
     87/99     11.3G   0.02787   0.01765  0.002567   0.04809       132       640    0.8776     0.589    0.5853    0.3396   0.05091   0.04306   0.01879
     88/99     11.3G   0.02782   0.01657  0.002536   0.04692        94       640    0.8706    0.5951    0.5827    0.3368   0.05086   0.04326   0.01865
     89/99     11.3G   0.02742   0.01724   0.00282   0.04747       210       640    0.8675    0.6083    0.5877    0.3408   0.05111   0.04299   0.01862
     90/99     11.3G   0.02785   0.01706   0.00247   0.04738       245       640    0.8726    0.5896    0.5855    0.3392     0.051   0.04318   0.01876
     91/99     11.3G   0.02761   0.01697  0.002579   0.04716       306       640    0.8713     0.593    0.5834    0.3358   0.05116   0.04324   0.01871
     92/99     11.3G    0.0278   0.01723  0.002596   0.04762       248       640    0.8609    0.5922    0.5764    0.3334   0.05114    0.0433    0.0191
     93/99     11.3G   0.02761   0.01756  0.002522   0.04769       177       640    0.8638    0.5854    0.5802    0.3341   0.05129   0.04335   0.01904
     94/99     11.3G   0.02737   0.01663  0.002439   0.04644       250       640    0.8657    0.5952    0.5847    0.3391   0.05111   0.04266   0.01894
     95/99     11.3G   0.02758   0.01634  0.002638   0.04656       253       640     0.874    0.5874     0.582    0.3375   0.05113   0.04298   0.01916
     96/99     11.3G   0.02756   0.01619  0.002288   0.04604       135       640    0.8776    0.5869    0.5835    0.3389   0.05114   0.04333   0.01862
     97/99     11.3G   0.02728   0.01703  0.002464   0.04677       176       640    0.8736     0.586    0.5848      0.34   0.05097   0.04329   0.01899
     98/99     11.3G   0.02727   0.01668  0.002363   0.04631       250       640    0.8726    0.5814    0.5825    0.3369   0.05097   0.04313    0.0189
     99/99     11.3G   0.02749   0.01697  0.002512   0.04697       136       640    0.8552       0.6    0.5802    0.3379   0.05116   0.04306   0.01899
